Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp,Has_Website,Has_Instagram,Has_Phone,Popularity_Score,Digital_Score,Opportunity_Score,Business_Segment
"MONALISA BOUTIQUE, Indore","Nariman - Balaji Heights, 81, Main Rd, opposite Warzish Fitness Club, Sector MR-4, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010",Nariman - Balaji Heights,"81, Main Rd","Boutique,Bangle Shop,Fabric store,Handbags shop,Jewelry store,Saree Shop,Sewing shop,Tailor,Wedding dress rental service,Women's clothing store",088397 04020,"088397 04020, +91 88397 04020",YES,103.0,5.0,https://search.google.com/local/reviews?placeid=ChIJJYw3iPwdYzkRvjAsqfnKvnc&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8628557109722362046,22.7596654,75.9129993,https://instagram.com/monalisaboutique83?igshid=OGQ5ZDc2ODk2ZA==,instagram.com,"Wednesday:[10 am–9:30 pm], Thursday:[10 am–9:30 pm], Friday:[10 am–9:30 pm], Saturday:[10 am–9:30 pm], Sunday:[10 am–9:30 pm], Monday:[10 am–9:30 pm], Tuesday:[10 am–9:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_VNLpfQcTykTh8BzxNMzjSiJ7l-4B-3CBo7K0-5-t_78WTD6cdnwB2ynE6ne7g4toqguA7bQz6VqDa1SFQZcHK6MZzcL-lmSSekz_6np4aDWjji0JGvs6Y7TLASzVZ0whJg98=w122-h92-k-no,8628557109722362046,ChIJJYw3iPwdYzkRvjAsqfnKvnc,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,1,1,1,23.22195449570686,100,0.0,Digital Leader
NAKODA'S BOUTIQUE,"17, Kanchan Bagh, Indore, Madhya Pradesh 452001",17,Kanchan Bagh,"Boutique,Designer Clothing Store",081090 31521,"081090 31521, +91 81090 31521",YES,650.0,4.2,https://search.google.com/local/reviews?placeid=ChIJJ8HDO6H9YjkRTzj5K6gFMl8&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6859551402289084495,22.7200478,75.8826514,http://www.nakodasboutique.com/,nakodasboutique.com,"Wednesday:[11 am–8:30 pm], Thursday:[11 am–8:30 pm], Friday:[11 am–8:30 pm], Saturday:[11 am–8:30 pm], Sunday:[11 am–8 pm], Monday:[11 am–8:30 pm], Tuesday:[11 am–8:30 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGLJa_QymPZg2j_dUuouR_NokujTtgaJn5_PH_XL1CdG1F331sjHAiPv8h1VM4r3v8mFb22KV99BjiszKZhgyZpm1uSbnLP2kfSpUTSbspSDlPWzBtiE1UxOQY5LGf4IUPcOUOZg=w137-h92-k-no,6859551402289084495,ChIJJ8HDO6H9YjkRTzj5K6gFMl8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,1,1,1,27.20974049727599,100,0.0,Digital Leader
Vaibhav Boutique,"Ram Baug, 205, Tilak Path Rd, Tilak Path, Chauraha, Indore, Madhya Pradesh 452001",Ram Baug,"205, Tilak Path Rd",Boutique,099260 92700,"099260 92700, +91 99260 92700",YES,328.0,4.9,https://search.google.com/local/reviews?placeid=ChIJoTd_PHT9YjkR5f5k2rMdpCo&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3072613504073924325,22.7221106,75.8570572,,,"Wednesday:[10 am–9 pm], Thursday:[10 am–9 pm], Friday:[10 am–9 pm], Saturday:[10 am–9 pm], Sunday:[Closed], Monday:[10 am–9 pm], Tuesday:[10 am–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGRajpgQzfPzUTZQZBwcVPiMebdesA0vD40PfEqsxMTvReeiwiplZ-vJdmCsNNNLiJGG9SFDxiEyRY7ekkuIKD2PjON4PJB12eIzjyR8U8N8tEIUfrYGuRqIRbcGrpOAvxXR_yvdXg5lhn=w80-h106-k-no,3072613504073924325,ChIJoTd_PHT9YjkR5f5k2rMdpCo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,0,1,1,28.400682978750325,50,72.86,Hidden Gem
Anusha J Couture,"105, Princes Business Skypark, Agra Bombay Road, LIG Colony, Indore, Madhya Pradesh 452010",105,Princes Business Skypark,"Boutique,Clothing store,Designer Clothing Store,Fashion designer,Formal Clothing Store,Plus Size Clothing Store,Western apparel store",098269 63500,"098269 63500, +91 98269 63500",YES,60.0,4.5,https://search.google.com/local/reviews?placeid=ChIJEZRiXG39YjkRncBMPXMOfXU&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8465938762638868637,22.7457292,75.8928428,,,"Wednesday:[11 am–8 pm], Thursday:[11 am–8 pm], Friday:[11 am–8 pm], Saturday:[11 am–8 pm], Sunday:[Closed], Monday:[11 am–8 pm], Tuesday:[11 am–8 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZhhMlHjpJzqnlUVwzKQ-m4d-0ldqEL8doFK12egT56mME__aNNlgICiolgjtPSAZs15g4UPvpYVmRgyvSPiJaNF-SeuVqwG2rYR155laxo10tCZZmLwNc6kqdCHTzj0hesYQIeA=w138-h92-k-no,8465938762638868637,ChIJEZRiXG39YjkRncBMPXMOfXU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,0,1,1,18.498932388779902,50,47.46,Growth Potential
LAVVISH BOUTIQUE,"Industry House, LG-9, Ratnamani Complex, Road, opposite Tinkus, New Palasia, Indore, Madhya Pradesh 452001",Industry House,"LG-9, Ratnamani Complex","Boutique,Designer Clothing Store",070006 48256,"070006 48256, +91 70006 48256",YES,124.0,4.9,https://search.google.com/local/reviews?placeid=ChIJB0RhGtP9YjkRo2WAPZMg5UM&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4892352386972018083,22.7274619,75.8841671,https://www.lavvish.in/,lavvish.in,"Wednesday:[12–9 pm], Thursday:[12–9 pm], Friday:[12–9 pm], Saturday:[12–9 pm], Sunday:[12–9 pm], Monday:[12–9 pm], Tuesday:[12–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHG4JhqGprr65p2RtHrIcN0Db8_ZGLCKUrQHRk8fErDaeCo2__jpJsQbxv6ZlIg32fAlU6v_admJhcb8aWCbddxPC-XjU6j8m9sxeUMvH6-nDkAl2xFVeLU3mHIk_rIm4YlW73h=w80-h133-k-no,4892352386972018083,ChIJB0RhGtP9YjkRo2WAPZMg5UM,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,1,1,1,23.65873731278128,100,0.0,Digital Leader
Yashika-boutique,"🏠 No109, Somya Vehicle, Infront of house, Scheme No 78 - III, behind Mahindra showroom, Baap Jee Nagar, Indore, Madhya Pradesh 452010","🏠 No109, Somya Vehicle",Infront of house,Clothing alteration service,093992 46393,"093992 46393, +91 93992 46393",YES,343.0,4.9,https://search.google.com/local/reviews?placeid=ChIJYXuKl0UDYzkRxaRBP_nPQM0&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14790049845699781829,22.7660974,75.9025845,https://wa.me/message/MBN4V5OV4ZP4C1,wa.me,"Wednesday:[10 am–10 pm], Thursday:[10 am–10 pm], Friday:[10 am–10 pm], Saturday:[10 am–9:30 pm], Sunday:[10 am–10 pm], Monday:[10 am–10 pm], Tuesday:[10 am–10 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTYqVpMvXh5XOR30SJgjlkqpulBGoQ4BrMOsAsbqv6ERxpedJFZOYo4zyj2zFPUADIuU2Mn_5KOnOvPQWeHcmISAx-kV7zG0FsdMBP4Tb_uqqFcxftIDYacRKtVVAYyva5nA=w80-h106-k-no,14790049845699781829,ChIJYXuKl0UDYzkRxaRBP_nPQM0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,1,1,1,28.619144121129654,100,0.0,Digital Leader
The Boutique by Poonam Khurana,"Shop No.UG-1&2, Shekhar Palace Opposite Golden Gate Scheme No.54, Scheme No 54, Indore, Madhya Pradesh 452010","Shop No.UG-1&2, Shekhar Palace Opposite Golden Gate Scheme No.54",Scheme No 54,Clothing store,099936 37937,"099936 37937, +91 99936 37937",YES,148.0,4.4,https://search.google.com/local/reviews?placeid=ChIJs6Mjtq4CYzkRBrNdQrkNxIc&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9782959379889107718,22.7561285,75.89261479999999,,,"Wednesday:[11 am–9 pm], Thursday:[11 am–9 pm], Friday:[11 am–9 pm], Saturday:[11 am–9 pm], Sunday:[4:30–8:30 pm], Monday:[11 am–9 pm], Tuesday:[11 am–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGWSCtg8PbCUT1VsgRQZA1dBvZkJT7YeEttlb2JELz65aBiEUSoTBtu9t3Iq7NwllMb28tjfANNC8Z_HYnCi8vhAi7ke4avcGseeLH7Gb5XrE-BWwFCxdnhIVX-0fx9D_ZevP2o6Q=w138-h92-k-no,9782959379889107718,ChIJs6Mjtq4CYzkRBrNdQrkNxIc,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,0,1,1,22.017363746160022,50,56.49,Growth Potential
NRI Lehenga Indore,"103, Curewell Hospital Rd, opp. Tinku Cafe, New Palasia, Indore, Madhya Pradesh 452001",103,Curewell Hospital Rd,"Boutique,Bridal shop,Designer Clothing Store,Fashion designer,Men's clothing store,Wedding dress rental service,Wedding store",099811 22568,"099811 22568, +91 99811 22568",YES,670.0,4.8,https://search.google.com/local/reviews?placeid=ChIJA6mIYnj9YjkRNl4KMET42mQ&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7267393920463167030,22.7272949,75.8836288,http://www.nrilehenga.com/,nrilehenga.com,"Wednesday:[11:30 am–9 pm], Thursday:[11:30 am–9 pm], Friday:[11:30 am–9 pm], Saturday:[11:30 am–9 pm], Sunday:[11:30 am–9 pm], Monday:[11:30 am–9 pm], Tuesday:[11:30 am–9 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOe_5HnmLRzDa1Pr5e20-D3deCJclJsTkNSOXSI0r8NphaowRioubR8cZxuNDR6t22bqqHBKNRdzmHMtrZTPENkVOdwBZnJb16-kyfhyxiyPHLbEl6jW4c_KjIKE3nA8WXSRvv=w122-h92-k-no,7267393920463167030,ChIJA6mIYnj9YjkRNl4KMET42mQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,1,1,1,31.24209185746407,100,0.0,Digital Leader
Simran Boutique,"I-2 ,mig colony near Shrinath hospital Mig Colony, Sector I, 2, Indore, Madhya Pradesh 452011","I-2 ,mig colony near Shrinath hospital Mig Colony","Sector I, 2",Clothing store,090988 08277,"090988 08277, +91 90988 08277",YES,39.0,4.7,https://search.google.com/local/reviews?placeid=ChIJZwwDcFv9YjkRajyAg42OkO0&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17118338922083007594,22.7388854,75.8863654,,,"Wednesday:[11 am–8 pm], Thursday:[11 am–8 pm], Friday:[11 am–8 pm], Saturday:[11 am–8 pm], Sunday:[11 am–8 pm], Monday:[11 am–8 pm], Tuesday:[11 am–8 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOn-7WNB4pJQKKlBvYpaZwwaEpMxemTbLA6Aos8B7OA-K-pCL6mv11QiIap2qXI0NAMaQ7h4gdMXGNb4XRxusUCbheXVbxwO585lCpI-LWQvlYYO6mv0Q4gI8PEIPX4A1EkHr9vA=w138-h92-k-no,17118338922083007594,ChIJZwwDcFv9YjkRajyAg42OkO0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,0,1,1,17.3377334343355,50,44.48,Growth Potential
Traditional BoutiQue,"Janta Quarter Stadium Ground, 820, Janta Quarter, Nanda Nagar, Indore, Madhya Pradesh 452011",Janta Quarter Stadium Ground,"820, Janta Quarter",Boutique,078989 76989,"078989 76989, +91 78989 76989",YES,103.0,4.7,https://search.google.com/local/reviews?placeid=ChIJyTyeDS_9YjkRPMGAD6-cSJA&q=boutique+in+indore&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10396732015478096188,22.7409633,75.8758395,http://traditionalboutique.co.in/,traditionalboutique.co.in,"Wednesday:[8–10 pm], Thursday:[8–10 pm], Friday:[8–10 pm], Saturday:[8–10 pm], Sunday:[8–10 pm], Monday:[8–10 pm], Tuesday:[8–10 pm]",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtESuOlAFhWQx9f9TJwQVYumt7WwQ2Rv1s90V-t_iS78DwP06zMS9upX4Cruc7TUzEb7yF2cFqOf-UIWqS09f_0Njp7pw0RNW1QyE6NX0j3j0hrgtamQJrDeGb1XIc-F8_k1bNLg=w126-h92-k-no,10396732015478096188,ChIJyTyeDS_9YjkRPMGAD6-cSJA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,1,1,1,21.828637225964453,100,0.0,Digital Leader
